"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-07T20:32:59.796+02:00[Europe/Paris]","0.0","4.54"
"Users CRUD test","Verify is User is added or not","FAILURE","2022-06-07T20:33:04.358+02:00[Europe/Paris]","0.0","0.96"
"Users CRUD test","This will login a user","SUCCESS","2022-06-07T20:33:05.380+02:00[Europe/Paris]","0.0","0.39"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-07T20:33:05.771+02:00[Europe/Paris]","0.0","0.15"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T20:33:05.920+02:00[Europe/Paris]","0.0","0.19"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T20:33:06.111+02:00[Europe/Paris]","0.0","0.19"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-07T20:33:06.303+02:00[Europe/Paris]","0.0","0.15"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-07T20:33:06.457+02:00[Europe/Paris]","0.0","0.13"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-07T20:33:06.591+02:00[Europe/Paris]","0.0","0.14"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-07T20:33:06.733+02:00[Europe/Paris]","0.0","0.14"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-07T20:33:06.869+02:00[Europe/Paris]","0.0","0.13"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-07T20:33:06.998+02:00[Europe/Paris]","0.0","0.1"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-07T20:33:07.097+02:00[Europe/Paris]","0.0","0.13"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-07T20:33:07.229+02:00[Europe/Paris]","0.0","0.13"
